site,species,n_years,french_name
10884,TURMER,7,Merle noir
10884,TURPHI,7,Grive musicienne
10884,TURVIS,7,Grive draine
10914,APUAPU,20,Martinet noir
10914,LULARB,20,Alouette lulu
10914,STRTUR,20,Tourterelle des bois
10914,TURVIS,20,Grive draine
10914,ALAARV,13,Alouette des champs
10914,CERBRA,13,Grimpereau des jardins
10914,COLPAL,13,Pigeon ramier
10914,CORCOR,13,Corneille noire
10914,CUCCAN,13,Coucou gris
10914,DENMAJ,13,Pic épeiche
10914,EMBCIT,13,Bruant jaune
10914,ERIRUB,13,Rougegorge familier
10914,FALTIN,13,Faucon crécerelle
10914,FRICOE,13,Pinson des arbres
10914,GARGLA,13,Geai des chênes
10914,HIRRUS,13,Hirondelle rustique
10914,LUSMEG,13,Rossignol philomèle
10914,MILCAL,13,Bruant proyer
10914,PARCAE,13,Mésange bleue
10914,PARMAJ,13,Mésange charbonnière
10914,PASDOM,13,Moineau domestique
10914,PHOOCH,13,Rougequeue noir
10914,PHYCOL,13,Pouillot véloce
10914,PICVIR,13,Pic vert
10914,SITEUR,13,Sittelle torchepot
10914,STRDEC,13,Tourterelle turque
10914,STUVUL,13,Étourneau sansonnet
10914,SYLATR,13,Fauvette à tête noire
10914,TROTRO,13,Troglodyte mignon
10914,TURMER,13,Merle noir
10914,TURPHI,13,Grive musicienne
10916,ANTTRI,5,Pipit des arbres
10916,CERBRA,5,Grimpereau des jardins
10916,COLPAL,5,Pigeon ramier
10916,CORCOR,5,Corneille noire
10916,CUCCAN,5,Coucou gris
10916,DENMAJ,5,Pic épeiche
10916,DRYMAR,5,Pic noir
10916,ERIRUB,5,Rougegorge familier
10916,FRICOE,5,Pinson des arbres
10916,GARGLA,5,Geai des chênes
10916,HIRRUS,5,Hirondelle rustique
10916,LULARB,5,Alouette lulu
10916,LUSMEG,5,Rossignol philomèle
10916,PARCAE,5,Mésange bleue
10916,PARMAJ,5,Mésange charbonnière
10916,PASDOM,5,Moineau domestique
10916,PHOOCH,5,Rougequeue noir
10916,PHYCOL,5,Pouillot véloce
10916,PICVIR,5,Pic vert
10916,PRUMOD,5,Accenteur mouchet
10916,SITEUR,5,Sittelle torchepot
10916,STRDEC,5,Tourterelle turque
10916,SYLATR,5,Fauvette à tête noire
10916,TROTRO,5,Troglodyte mignon
10916,TURMER,5,Merle noir
10916,TURPHI,5,Grive musicienne
10935,ALAARV,21,Alouette des champs
10935,APUAPU,21,Martinet noir
10935,CERBRA,21,Grimpereau des jardins
10935,COLPAL,21,Pigeon ramier
10935,CORCOR,21,Corneille noire
10935,CUCCAN,21,Coucou gris
10935,DENMAJ,21,Pic épeiche
10935,EMBCIT,21,Bruant jaune
10935,ERIRUB,21,Rougegorge familier
10935,FALTIN,21,Faucon crécerelle
10935,FRICOE,21,Pinson des arbres
10935,GALCHL,21,Gallinule poule-d'eau
10935,GARGLA,21,Geai des chênes
10935,HIRRUS,21,Hirondelle rustique
10935,LUSMEG,21,Rossignol philomèle
10935,PARCAE,21,Mésange bleue
10935,PARCRI,21,Mésange huppée
10935,PARMAJ,21,Mésange charbonnière
10935,PASDOM,21,Moineau domestique
10935,PHOOCH,21,Rougequeue noir
10935,PHYCOL,21,Pouillot véloce
10935,PICVIR,21,Pic vert
10935,SITEUR,21,Sittelle torchepot
10935,STRDEC,21,Tourterelle turque
10935,STRTUR,21,Tourterelle des bois
10935,STUVUL,21,Étourneau sansonnet
10935,SYLATR,21,Fauvette à tête noire
10935,TROTRO,21,Troglodyte mignon
10935,TURMER,21,Merle noir
10935,TURPHI,21,Grive musicienne
10935,TURVIS,21,Grive draine
10947,CERBRA,7,Grimpereau des jardins
10947,COLPAL,7,Pigeon ramier
10947,CORCOR,7,Corneille noire
10947,CUCCAN,7,Coucou gris
10947,DENMAJ,7,Pic épeiche
10947,ERIRUB,7,Rougegorge familier
10947,FALTIN,7,Faucon crécerelle
10947,FRICOE,7,Pinson des arbres
10947,GALCHL,7,Gallinule poule-d'eau
10947,GARGLA,7,Geai des chênes
10947,HIRRUS,7,Hirondelle rustique
10947,LULARB,7,Alouette lulu
10947,LUSMEG,7,Rossignol philomèle
10947,MILCAL,7,Bruant proyer
10947,PARCAE,7,Mésange bleue
10947,PARMAJ,7,Mésange charbonnière
10947,PASDOM,7,Moineau domestique
10947,PHOOCH,7,Rougequeue noir
10947,PHYCOL,7,Pouillot véloce
10947,PICVIR,7,Pic vert
10947,SITEUR,7,Sittelle torchepot
10947,STRDEC,7,Tourterelle turque
10947,STRTUR,7,Tourterelle des bois
10947,STUVUL,7,Étourneau sansonnet
